tax_kind,rule_key,conditions_json,bracket_min,bracket_max,rate,progressive_deduction,fixed_amount,rate_formula,rate_decimals,max_amount,base_kind,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
# ─────────────────────────────────────────────────────────────────────────────
# 종합부동산세 — 초안 (2026-09-04). 원문 미확인.
#
# holding.py 는 과세표준(= 공시가격 × 공정시장가액비율 60%)에 세율표를 그대로 대므로
# '기본공제(1세대1주택 12억 · 그 외 9억, 인별 공시가격 합산)' 를 빼는 구조가 없다.
# 그래서 여기서는 **공제 문턱 아래는 0** 만 적는다: 9억 × 60% = 5.4억 과세표준까지 세율 0.
# 문턱 위 구간(0.5%~2.7%, 3주택 이상 중과 별도)은 합산·공제를 코드가 지원한 뒤에 넣는다.
# 이 근사는 다주택 합산을 무시하므로 2주택자에게는 과소계산일 수 있다 — note 에 명시.
# ─────────────────────────────────────────────────────────────────────────────
종합부동산세,cet/기본공제이하/9억,"{""house_count_gte"": 2}",0,540000000,0,0,,,,,과세표준,2026-01-01,,종합부동산세법 제8조제1항(주택 공시가격 합산 9억 공제; 1세대1주택 12억),https://www.law.go.kr/법령/종합부동산세법/제8조,,ENACTED,NEEDS_VERIFICATION,[초안 — 원문 대조 필요] 인별 공시가격 합산이 9억 이하일 때만 0. 다주택 합산 미반영 → 과소계산 가능
종합부동산세,cet/기본공제이하/12억/1주택,"{""house_count"": 1}",0,720000000,0,0,,,,,과세표준,2026-01-01,,종합부동산세법 제8조제1항(1세대1주택 12억 공제),https://www.law.go.kr/법령/종합부동산세법/제8조,,ENACTED,NEEDS_VERIFICATION,[초안 — 원문 대조 필요] 12억 × 60% = 7.2억 과세표준까지 0
