cost_kind,rule_key,region,conditions_json,price_min,price_max,rate,max_amount,fixed_amount,vat_applicable,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
# ─────────────────────────────────────────────────────────────────────────────
# 거래 부대비용 규칙표.
#
#   중개보수  시·도 조례의 **상한요율**. 실제 보수는 그 안에서 협의한다
#   법무비    대한법무사협회 보수표의 소유권이전등기 기본보수. **ESTIMATED** 다
#   인지세 · 국민주택채권 · 등기신청수수료 · 증명서발급   법무·등기 단계의 실비
#
# vat_applicable=1 이면 부가가치세가 **별도로** 붙는다 (세율은 tax.csv 의 부가가치세 규칙).
# 중개보수와 법무보수의 부가세는 각각 다른 항목으로 계산된다 —
#   brokerage_fee / brokerage_vat / legal_fee(base_fee) / legal_vat
#
# ★ 누진 요금표 쓰는 법
#   fixed_amount 와 rate 를 **둘 다** 적으면
#       금액 = fixed_amount + (과세표준 − price_min) × rate
#   가 된다. 법무사 보수표가 정확히 이 구조다.
#   ("5천만원까지 105,000원, 5천만~2억은 105,000 + 초과분 × 0.05%")
#   하나만 적으면 정액(fixed_amount) 또는 단순 요율(rate)이다.
#
# ★ 법무비를 '확정' 으로 표시하지 않는다
#   보수표 기본보수는 ESTIMATED 다. 실비까지 합쳐 하나의 확정 법무비처럼 보여주지 않고,
#   화면에는 **"법무·등기비 예상액"** 이라고 표시한다.
# ─────────────────────────────────────────────────────────────────────────────
#
# ── 아직 채우지 못한 것 ─────────────────────────────────────────────────────
# 1) 국민주택채권 매입 할인차손 — 할인율이 매일 변하므로 ESTIMATED 가 맞습니다
#국민주택채권,bond/매입할인차손,,,0,,<rate>,,,0,<시행일>,,주택도시기금법 시행령 [별표],https://www.law.go.kr/,<확인일>,ENACTED,ESTIMATED,
#
# 2) 등기신청수수료 · 증명서 발급비
#등기신청수수료,reg/전자표준양식,,,0,,,,<수수료>,0,<시행일>,,등기사항증명서 등 수수료규칙,https://www.iros.go.kr,<확인일>,ENACTED,VERIFIED,
#증명서발급,cert/등본초본등,,,0,,,,<발급비>,0,<시행일>,,정부24 수수료,https://www.gov.kr,<확인일>,ENACTED,ESTIMATED,
#
# 3) 서울·경기 중개보수 조례 — 지금은 인천만 들어 있습니다.
#    region 이 빈 행은 전국 적용이라, 잘못 넣으면 조례가 다른 지역까지 덮습니다.
#중개보수,brok/매매/2억~9억,서울,,200000000,900000000,<요율>,,,1,<시행일>,,서울특별시 주택 중개보수 등에 관한 조례,https://legal.seoul.go.kr,<확인일>,ENACTED,VERIFIED,
#중개보수,brok/매매/2억~9억,경기,,200000000,900000000,<요율>,,,1,<시행일>,,경기도 주택 중개보수 등에 관한 조례,https://www.gg.go.kr,<확인일>,ENACTED,VERIFIED,
중개보수,brok/매매/5천만원미만,인천,,0,50000000,0.006,250000,,1,2021-10-19,,인천광역시 주택 중개보수 등에 관한 조례,https://www.seohae.go.kr/open_content/main/civil/land/realty_fee.jsp,2026-08-31,ENACTED,VERIFIED,상한요율 — 실제 보수는 이 한도 안에서 협의 [대조: Claude 가 source_url 원문 확인 (2026-08-31)]
중개보수,brok/매매/5천~2억,인천,,50000000,200000000,0.005,800000,,1,2021-10-19,,인천광역시 주택 중개보수 등에 관한 조례,https://www.seohae.go.kr/open_content/main/civil/land/realty_fee.jsp,2026-08-31,ENACTED,VERIFIED,상한요율 — 실제 보수는 이 한도 안에서 협의 [대조: Claude 가 source_url 원문 확인 (2026-08-31)]
중개보수,brok/매매/2억~9억,인천,,200000000,900000000,0.004,,,1,2021-10-19,,인천광역시 주택 중개보수 등에 관한 조례,https://www.seohae.go.kr/open_content/main/civil/land/realty_fee.jsp,2026-08-31,ENACTED,VERIFIED,상한요율 — 실제 보수는 이 한도 안에서 협의 [대조: Claude 가 source_url 원문 확인 (2026-08-31)]
