tax_kind,rule_key,conditions_json,bracket_min,bracket_max,rate,progressive_deduction,fixed_amount,rate_formula,rate_decimals,max_amount,base_kind,effective_from,effective_to,source_name,source_url,last_verified,status,verification,note
# ─────────────────────────────────────────────────────────────────────────────
# 세법 규칙표.  세율을 코드에 적지 않기 위한 파일이다(요구사항 25·62-10).
#
#   status        ENACTED(시행 중) / ANNOUNCED(발표·시행 전) / PROPOSED / EXPIRED
#                 → 계산에 쓰는 것은 ENACTED 뿐이다
#   verification  VERIFIED(원문 확인) / ESTIMATED / UNKNOWN / NEEDS_VERIFICATION
#                 → VERIFIED 로 적으려면 last_verified 에 날짜가 있어야 한다(임포터가 막는다)
#   rate_decimals 조문이 정한 세율 반올림 자리수. 지방세법 제11조 6~9억 구간은
#                 "소수점 다섯째 자리에서 반올림하여 넷째 자리까지" 이므로 4를 적는다
#
# conditions_json 연산자: _gte _lte _gt _lt _in
# 쓸 수 있는 키: house_count, regulated, exclusive_area,
#                current_home_count, resulting_home_count, regulated_area,
#                temporary_two_home, first_home_buyer, buyer_type
#
# ★ AND 조합만 표현할 수 있어서 OR 는 행을 나눠 적는다.
#   "1주택 또는 (2주택이고 비조정) 또는 (2주택이고 일시적2주택)" 이 일반세율이라
#   같은 세율의 행이 세 벌 들어 있다. 하나만 지우면 그 경우가 '확인 불가' 가 된다.
#
# ★★ 시행일 주의: 아래 취득세·지방교육세 행의 effective_from 은 2026-07-01 이다
#    (종인님이 확인한 지방세법 시행일). 2026-07-01 **이전** 시점을 백테스트하면
#    "규칙 없음 → 확인 불가" 가 나온다. 과거 분석을 하려면 그 시점의 세법을
#    별도 행으로 추가해야 한다. 값을 덮어쓰지 말고 행을 추가하세요.
# ─────────────────────────────────────────────────────────────────────────────
#
# ── 아직 채우지 못한 것 ─────────────────────────────────────────────────────
# 1) 다주택 중과 시의 지방교육세 — 중과세율(8%/12%) 취득 건의 지방교육세 산식이
#    확인되지 않았습니다. 지금은 그 경우 지방교육세가 '확인 불가' 로 나옵니다.
#지방교육세,edu/주택/중과,"{""resulting_home_count_gte"": 2, ""regulated_area"": true}",0,,<세율>,0,,,,,취득가액,<시행일>,,지방세법 제151조제1항제1호,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#
# 2) 생애최초 취득세 감면 (지방세특례제한법 제36조의3)
#    rate=감면율(1.0=전액), max_amount=한도액(원). 시행 전이면 status=ANNOUNCED.
#취득세감면,red/생애최초,"{""first_home_buyer"": true, ""resulting_home_count"": 1}",0,<주택가액상한>,<감면율>,0,,,,<한도액>,취득세액,<시행일>,<종료일>,지방세특례제한법 제36조의3,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#
# 3) 감면분 농어촌특별세 — rule_key 에 '감면' 이 들어가야 일반분과 구분된다
#농어촌특별세,rural/감면분,"{}",0,,<세율>,0,,,,,감면세액,<시행일>,,농어촌특별세법 제5조제1항 제1호,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#
# 4) 양도소득세·지방소득세 — 없으면 EXPECTED_ROE 가 나오지 않습니다
#양도소득세,cgt/1세대1주택/비과세,"{""house_count"": 1, ""holding_years_gte"": 2}",0,<고가주택기준>,0,0,0,,,,양도차익,<시행일>,,소득세법 제89조제1항제3호,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#양도소득세,cgt/기본세율/구간1,"{}",0,<구간상한>,<세율>,<누진공제>,,,,,양도차익,<시행일>,,소득세법 제104조,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#지방소득세,linc/양도분,"{}",0,,<세율>,0,,,,,양도소득세액,<시행일>,,지방세법 제103조의3,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#
# 5) 재산세·종합부동산세 — PHASE 7 보유비용에 필요합니다
#재산세,prop/주택/구간1,"{}",0,<구간상한>,<세율>,<누진공제>,,,,,과세표준,<시행일>,,지방세법 제111조제1항제3호,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
#종합부동산세,hold/종부세/주택,"{}",0,,<세율>,<누진공제>,,,,,과세표준,<시행일>,,종합부동산세법 제9조,https://www.law.go.kr/,<확인일>,ENACTED,VERIFIED,
취득세,acq/주택/1주택/6억이하,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",0,600000000,0.01,0,,,,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,[종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/1주택/6억~9억,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",600000000,900000000,,0,,(base * 2 / 300000000 - 3) / 100,4,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득가액×2÷3억−3 (%). 소수점 다섯째 자리에서 반올림해 넷째 자리까지. [종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/1주택/9억초과,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",900000000,,0.03,0,,,,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,[종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/2주택비조정/6억이하,"{""resulting_home_count"": 2, ""regulated_area"": false, ""buyer_type"": ""개인""}",0,600000000,0.01,0,,,,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,[종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/2주택비조정/6억~9억,"{""resulting_home_count"": 2, ""regulated_area"": false, ""buyer_type"": ""개인""}",600000000,900000000,,0,,(base * 2 / 300000000 - 3) / 100,4,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득가액×2÷3억−3 (%). 소수점 다섯째 자리에서 반올림해 넷째 자리까지. [종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/2주택비조정/9억초과,"{""resulting_home_count"": 2, ""regulated_area"": false, ""buyer_type"": ""개인""}",900000000,,0.03,0,,,,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,[종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/일시적2주택/6억이하,"{""resulting_home_count"": 2, ""temporary_two_home"": true, ""buyer_type"": ""개인""}",0,600000000,0.01,0,,,,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,대통령령상 일시적 2주택 요건 충족 시 일반세율. [종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/일시적2주택/6억~9억,"{""resulting_home_count"": 2, ""temporary_two_home"": true, ""buyer_type"": ""개인""}",600000000,900000000,,0,,(base * 2 / 300000000 - 3) / 100,4,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,대통령령상 일시적 2주택 요건 충족 시 일반세율. [종인님이 2026-08-31 직접 제공·검증한 값]
취득세,acq/주택/일시적2주택/9억초과,"{""resulting_home_count"": 2, ""temporary_two_home"": true, ""buyer_type"": ""개인""}",900000000,,0.03,0,,,,,취득가액,2026-07-01,,지방세법 제11조제1항제8호 [시행 2026-07-01],https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,대통령령상 일시적 2주택 요건 충족 시 일반세율. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/1주택/6억이하,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",0,600000000,0.001,0,,,,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율 × 50% × 20% = 취득세율의 1/10. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/1주택/6억~9억,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",600000000,900000000,,0,,((base * 2 / 300000000 - 3) / 100) / 10,5,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율(4자리 반올림)의 1/10 이 되도록 5자리에서 반올림. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/1주택/9억초과,"{""resulting_home_count"": 1, ""buyer_type"": ""개인""}",900000000,,0.003,0,,,,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율 × 50% × 20% = 취득세율의 1/10. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/2주택비조정/6억이하,"{""resulting_home_count"": 2, ""regulated_area"": false, ""buyer_type"": ""개인""}",0,600000000,0.001,0,,,,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율 × 50% × 20% = 취득세율의 1/10. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/2주택비조정/6억~9억,"{""resulting_home_count"": 2, ""regulated_area"": false, ""buyer_type"": ""개인""}",600000000,900000000,,0,,((base * 2 / 300000000 - 3) / 100) / 10,5,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율(4자리 반올림)의 1/10 이 되도록 5자리에서 반올림. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/2주택비조정/9억초과,"{""resulting_home_count"": 2, ""regulated_area"": false, ""buyer_type"": ""개인""}",900000000,,0.003,0,,,,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율 × 50% × 20% = 취득세율의 1/10. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/일시적2주택/6억이하,"{""resulting_home_count"": 2, ""temporary_two_home"": true, ""buyer_type"": ""개인""}",0,600000000,0.001,0,,,,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율 × 50% × 20% = 취득세율의 1/10. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/일시적2주택/6억~9억,"{""resulting_home_count"": 2, ""temporary_two_home"": true, ""buyer_type"": ""개인""}",600000000,900000000,,0,,((base * 2 / 300000000 - 3) / 100) / 10,5,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율(4자리 반올림)의 1/10 이 되도록 5자리에서 반올림. [종인님이 2026-08-31 직접 제공·검증한 값]
지방교육세,edu/주택/일시적2주택/9억초과,"{""resulting_home_count"": 2, ""temporary_two_home"": true, ""buyer_type"": ""개인""}",900000000,,0.003,0,,,,,취득가액,2026-07-01,,지방세법 제151조제1항제1호,https://www.law.go.kr/,2026-08-31,ENACTED,VERIFIED,취득세율 × 50% × 20% = 취득세율의 1/10. [종인님이 2026-08-31 직접 제공·검증한 값]
