pattern,line_id,destination_tier,destination,transfer,confidence,note
GTX-A,GTX-A,1,삼성(예정)·서울역·수서,0,VERIFIED,수서~동탄 2024-03 개통·운정~서울역 2024-12 개통·삼성역 2028 예정. 1급 직장중심(강남·서울역) 직결
GTX-B,GTX-B,1,여의도·용산·서울역,0,VERIFIED,2025-08 통합착공·2030 예정. 여의도·서울역 직결
GTX-C,GTX-C,1,삼성·양재·청량리,0,PROXY,미착공. 삼성 직결
신분당선,신분당선,1,강남·판교·신사,0,VERIFIED,강남~신사 2022-05 개통. 강남·판교 직결
2호선,2호선,1,강남·삼성·시청·을지로,0,VERIFIED,순환 1급 직장중심 다수
3호선,3호선,1,강남(교대·양재)·광화문·경복궁,0,VERIFIED,
일산선,3호선,1,강남·광화문(3호선 직결),0,VERIFIED,대화~지축 구간
5호선,5호선,1,여의도·광화문·강동,0,VERIFIED,하남선 포함
7호선,7호선,1,강남(논현·학동·청담)·가산디지털,0,VERIFIED,
도시철도 7호선,7호선,1,강남(논현·학동·청담)·가산디지털,0,VERIFIED,인천 석남 연장 구간. 강남까지 장거리(60분+)
9호선,9호선,1,여의도·강남(신논현)·김포공항,0,VERIFIED,급행
수도권  도시철도 9호선,9호선,1,여의도·강남,0,VERIFIED,
서울 도시철도 9호선,9호선,1,여의도·강남,0,VERIFIED,
분당선,수인분당선,1,선릉·강남구청·판교(정자·서현),0,VERIFIED,
수인선,수인분당선,1,선릉·강남구청(수인분당 직결),0,PROXY,인천~강남 90분 장거리 — 목적지는 1급이나 시간거리 큼
경강선,경강선,1,판교,0,VERIFIED,성남~여주
1호선,1호선,1,서울역·시청·종로,0,VERIFIED,
경부선,1호선,1,서울역·시청·종로,0,VERIFIED,1호선 광역 구간
경인선,1호선,1,서울역·시청·종로,0,VERIFIED,인천~구로 구간
경원선,1호선,1,용산·서울 도심,0,VERIFIED,
4호선,4호선,1,서울역·사당·명동·동대문,0,VERIFIED,
안산과천선,4호선,1,사당·서울역(4호선 직결),0,VERIFIED,
진접선,4호선,1,서울역·사당(4호선 직결),0,VERIFIED,2022-03 개통. 도심까지 장거리
인천국제공항선,공항철도,1,서울역·마곡·홍대,0,VERIFIED,
수도권 경량도시철도 신림선,신림선,1,여의도(샛강)·보라매,0,PROXY,경전철이지만 여의도 직결. 2022-05 개통
신안산선,신안산선,1,여의도,0,PROXY,미개통(2026 예정)
월곶판교선,월곶판교선,1,판교,0,PROXY,미개통
위례신사선,위례신사선,1,신사·삼성(예정),0,PROXY,미착공
8호선,8호선,2,잠실·천호·문정,0,VERIFIED,잠실 부도심
8호선 별내선,8호선,2,잠실(8호선 직결),0,VERIFIED,2024-08 개통
수도권 광역철도 8호선,8호선,2,잠실(8호선 직결),0,VERIFIED,
6호선,6호선,2,공덕·합정·상암·이태원,0,VERIFIED,부도심 연결
경의중앙선,경의중앙선,2,용산·공덕·홍대·왕십리,0,VERIFIED,
경춘선,경춘선,2,상봉·청량리(용산 ITX),0,VERIFIED,
서해선,서해선,2,김포공항·부천·대곡(9호선·5호선 1회 환승),1,VERIFIED,
김포도시철도,김포골드라인,2,김포공항(9호선·5호선·공항철도 1회 환승),1,VERIFIED,
인천지하철 1호선,인천1호선,2,부평·인천시청·송도(인천 부도심)·계양,0,VERIFIED,서울 직장중심은 1회 환승(1·7호선)
인천지하철 2호선,인천2호선,3,주안·인천시청·검단(인천 내부),1,VERIFIED,서울 직장중심까지 2회 환승
우이신설선,우이신설선,3,성신여대·보문(4·6호선 환승),1,VERIFIED,외곽 경전철
의정부,의정부경전철,3,의정부(1호선 환승),1,VERIFIED,
에버라인,용인에버라인,3,기흥(수인분당 환승),1,VERIFIED,
자기부상철도,인천공항자기부상,3,인천공항 내부,2,VERIFIED,
