pattern,line_id,announce_ym,construct_ym,open_ym,confidence,note
GTX-A 수서~동탄,GTX-A,201402,201812,202403,VERIFIED,예타 통과 2014-02(킨텍스~수서) · 착공식 2018-12-27 · 개통 2024-03-30
GTX-A 운정~서울역,GTX-A,201402,201812,202412,VERIFIED,착공식 2018-12-27 · 개통 2024-12-28. 삼성역 2028 예정
GTX-B,GTX-B,201908,202508,203012,VERIFIED,예타 통과 2019-08 · 기본계획 고시 2022-03(용산~상봉) · 착공식 2024-03 · 통합착공 2025-08 · 개통 예정 2030
GTX-C,GTX-C,201812,202604,202812,PROXY,예타 통과 2018-12 · 기본계획 고시 2020-12 · 착공식 2024-01 · 본착공 2026-04
신분당선 강남~신사,신분당선,201212,201608,202205,VERIFIED,착공 2016-08 · 개통 2022-05-28
신분당선,신분당선,200607,201102,201601,PROXY,정자~광교 연장: 착공 2011 · 개통 2016-01-30 (강남~정자는 2011-10 개통)
신안산선,신안산선,201509,201909,202812,PROXY,민자 고시 2015 · 착공 2019-09 · 개통 목표 2028-12(지연)
월곶판교선,월곶판교선,201812,202104,202812,PROXY,기본계획 고시 2018 · 착공 2021-04 · 개통 예정 2028
위례신사선,위례신사선,202006,,,PROXY,민자 적격성 2020 · 사업자 이탈로 미착공
서울 도시철도 9호선,9호선,200908,200912,201812,PROXY,3단계(종합운동장~중앙보훈병원): 착공 2009 · 개통 2018-12-01
수도권  도시철도 9호선,9호선,200908,200912,201503,PROXY,2단계(신논현~종합운동장): 개통 2015-03-28
도시철도 7호선,7호선,201112,201410,202105,PROXY,부평구청~석남: 착공 2014 · 개통 2021-05-22 (석남~청라: 착공 2021 · 개통 2027 예정)
5호선,5호선,201109,201409,202008,PROXY,하남선: 착공 2014-09 · 개통 2020-08(풍산)·2021-03(검단산)
8호선 별내선,8호선,201112,201512,202408,VERIFIED,착공 2015-12 · 개통 2024-08-10
수도권 광역철도 8호선,8호선,201112,201512,202408,VERIFIED,별내선 동일
진접선,4호선,201212,201511,202203,VERIFIED,착공 2015-11 · 개통 2022-03-19
수도권 경량도시철도 신림선,신림선,201502,201702,202205,VERIFIED,실시계획 승인 2017-01-26 · 착공 2017-02-03 · 개통 2022-05-28
김포도시철도,김포골드라인,201211,201403,201909,PROXY,착공 2014-03 · 개통 2019-09-28
서해선,서해선,201203,201607,202307,PROXY,대곡~소사: 착공 2016 · 개통 2023-07-01 (소사~원시는 2018-06 개통 · 착공 2011)
인천지하철 1호선,인천1호선,201512,201612,202012,PROXY,송도 국제업무지구 연장: 개통 2020-12-12 (검단연장: 착공 2020 · 개통 2025-06-28)
인천지하철 2호선,인천2호선,200807,200906,201607,VERIFIED,착공 2009-06 · 개통 2016-07-30
수인선,수인분당선,200312,201209,202009,PROXY,수원~한대앞 2020-09 완전개통 (송도~인천 2016-02, 오이도~송도 2012-06)
우이신설선,우이신설선,200712,200909,201709,VERIFIED,착공 2009-09 · 개통 2017-09-02
경강선,경강선,200912,201110,201609,VERIFIED,착공 2011-10 · 개통 2016-09-24
