line_id,all_express,stations,confidence,note
GTX-A,1,,VERIFIED,광역급행 전 역
GTX-B,1,,VERIFIED,광역급행 전 역
GTX-C,1,,VERIFIED,광역급행 전 역
신분당선,1,,VERIFIED,전 역 고속(강남~정자 16분)
공항철도,0,서울|공덕|홍대입구|디지털미디어시티|김포공항|검암|인천공항1터미널|인천공항2터미널,VERIFIED,직통열차 정차
9호선,0,김포공항|마곡나루|가양|염창|당산|여의도|노량진|동작|고속터미널|신논현|선정릉|봉은사|종합운동장|석촌|올림픽공원|중앙보훈병원,VERIFIED,급행 정차역
1호선,0,서울|용산|노량진|영등포|신도림|구로|가산디지털단지|금천구청|안양|군포|의왕|성균관대|수원|병점|오산|서정리|평택|천안|개봉|오류동|역곡|부천|송내|부평|동암|주안|제물포|동인천|청량리|동묘앞|신설동|제기동|회기|외대앞|신이문|석계|광운대|창동|도봉산|의정부|양주|덕정|동두천,PROXY,경부·경인·경원 급행 정차역(급행 계통별 상이 → 대표역)
수인분당선,0,왕십리|선릉|수서|모란|야탑|서현|정자|죽전|기흥|영통|망포|수원|한대앞|인하대|원인재|연수|인천,PROXY,분당선 급행(2017~) · 수인선 급행 정차역
경의중앙선,0,문산|금촌|운정|일산|백마|대곡|행신|디지털미디어시티|홍대입구|공덕|용산|이촌|옥수|왕십리|청량리|회기|상봉|구리|덕소|양평|용문|서울,PROXY,경의중앙 급행 정차역
경춘선,0,상봉|망우|퇴계원|사릉|평내호평|마석|청평|가평|춘천|용산|청량리,PROXY,ITX-청춘·급행 정차역
서해선,0,,PROXY,급행 없음
